Link,Name,Brand,Price,Sale,Stars,Coupon,5 stars,4 stars,3 stars,2 stars,1 star,Reviews
https://tiki.vn/nen-thom-trang-tri-phong-cach-hoa-kho-thao-moc-p94847014.html?spid=94847020,Nến thơm trang trí phong cách hoa khô thảo mộc,Citta,180.000₫,Đã bán 729,4.7,,124,14,1,3,3,"['Mình mua 2 hộp nến, 1 hộp nhận thì tạm ổn, hộp còn lại nến quá cũ, bên trong các cành hoa trang trí, nhánh vỏ cam đã bị mối mọt ăn rỗng, mở hộp nến ra mọt rơi đầy ra ngoài. \nYêu cầu Shop đổi lại cây nến này. ', 'Nến đốt được khoảng 30 phút thì lửa bén vào các cây quế hồi như hình, nên bị tan chảy , nếu tiếp tục đốt không để ý dễ phát lửa cháy nhà, không nên mua sp này', 'Được cái hình thức nhìn ổn thôi chứ mùi nhẹ hều không cảm được miếng nào,', 'Mọi người dùng sao để thơm vậy ạ em đốt lên chả nghe được mùi gì 😞😞😞', 'Nhìn đẹp chứ nến thơm mà mùi thì không nghe thấy rõ. Hơi chán', 'Ko thấy mùi thơm nào cả, hơi thất vọng']"
https://tiki.vn/dong-ho-de-ban-led-bao-thuc-thong-minh-p12736380.html?spid=59225549,Đồng hồ để bàn led báo thức thông minh,OEM,219.000₫,Đã bán 1232,4.5,,227,59,13,9,10,"['Tôi mua 2 chiếc đồng hồ màu đen, giao sáng  nay, bây giờ một chiếc hỏng, không hiện lên tín hiệu giờ. Tôi muốn hỏi sẽ được đổi lại sản phẩm khác thế nào?', 'Đồng hồ đẹp nhưng tầm vài tiếng lại tự tắt, phải nhấn nút Set mới sáng trở lại, khá bất tiện, ko biết của mình bị lỗi hay loại đồng hồ này là vậy', 'mình có thể đổi không shop. mới mua về nhưng đã bị lỗi gì đó. Cứ một thời gian là đồng hồ không hiển thị. chạm vào thì mới sáng lên.', 'Khó sử dụng và điều chỉnh thời gian và chế độ hiển thị. Ngoài ra, video hướng dẫn sử dụng rất khó tìm.', 'Lắp pin dùng được 2 ngày thì pin cạn luôn (pin mới mua)', 'Đồng hồ báo thức mà ko thấy hướng dẫn cài báo thức ?', 'Lắp pin dùng được 2 ngày thì pin cạn luôn (pin mới mua)', 'Đồng hồ chỉ hiện số khoảng 10s thì tự động tắt, lại cầm lên thì mới hiện giờ lại', 'sản phẩm bị cấn móp, thất vọng', 'Rất nhanh hết pin, xài đc 1 tuần', 'đồng hồ xài chưa tới 1 tuần thì hư, sau khi thử thay pin mới vẫn ko hoạt động', 'Đồng hồ ko có chế độ luôn hiển thị', 'Nhanh hết pin, khó sử dụng.', 'Dùng đc đúng 1 ngày là đồng hồ gặp trục trặc.', 'Chạy được đúng 1 ngày, giờ nó cứ chớp xong tắt, không gửi clip được, quá tệ.', 'Mau hết pin, không bật được chế độ on thường xuyên.', 'Tào lao vãi cả đái, hàng tàu khựa', 'Mọi thứ ok. Ko van đề gì cả.', 'sản phẩm siêu tệ không nên mua']"
https://tiki.vn/dong-ho-bao-thuc-dien-tu-de-ban-man-hinh-da-chuc-nang-thoi-gian-lich-bao-thuc-nhiet-do-dh89-p45300792.html?spid=184600533,"Đồng hồ báo thức điện tử để bàn màn hình đa chức năng thời gian, lịch, báo thức, nhiệt độ DH89",OEM,95.000₫,Đã bán 143,4.5,"['Giảm 5K Cho đơn hàng từ 299K', 'Giảm 9K Cho đơn hàng từ 499K', 'Giảm 12K Cho đơn hàng từ 799K', 'Giảm 30K Cho đơn hàng từ 1.5 triệu', 'Giảm 50K Cho đơn hàng từ 2.5 triệu']",12,1,2,0,1,
https://tiki.vn/tham-long-trai-san-long-min-kich-thuoc-1-2-x-1-6m-dai-tham-long-trai-san-cao-cap-phong-khach-trang-tri-nha-cua-p93154028.html?spid=173947408,Thảm lông trải sàn lông mịn kích thước 1.2 x 1.6m- dài Thảm lông trải sàn cao cấp phòng khách trang trí nhà cửa.,Dalton,185.000₫,Đã bán 381,4.5,"['Giảm 5K Cho đơn hàng từ 359K', 'Giảm 10K Cho đơn hàng từ 539K', 'Giảm 20K Cho đơn hàng từ 1.2 triệu']",37,15,2,0,2,
https://tiki.vn/nen-thom-candle-cup-agaya-huong-go-da-lat-p177780907.html?spid=177780913,Nến thơm Candle Cup/Agaya - Hương Gỗ ĐÀ LẠT,Candle Cup,340.000₫,Đã bán 214,5.0,['Giảm 10K Cho đơn hàng từ 121K'],27,0,0,0,0,
https://tiki.vn/sap-nen-thom-dot-phong-nen-hoa-thom-hoa-kho-thien-nhien-mohi-mn1-chinh-hang-p79445924.html?spid=79445925,"Nến thơm hoa khô thiên nhiên, sáp nến thơm phòng MO hi cao cấp - Hàng chính hãng, giao màu, hình, họa tiết hộp ngẫu nhiên",MO hi,45.080₫,Đã bán 1598,4.8,,87,19,3,0,0,
https://tiki.vn/vo-tat-nhung-do-theu-chu-merry-christmas-trang-tri-cay-thong-noel-giang-sinh-p201592117.html?spid=201592121,Vớ (Tất) Nhung Đỏ Thêu Chữ Merry Christmas Trang Trí Cây Thông Noel Giáng Sinh,NAVIVU,30.000₫,Đã bán 97,4.6,,9,6,0,0,0,
https://tiki.vn/bong-bong-hinh-chu-so-trang-nhom-kich-co-32-inch-trang-tri-tiec-sinh-nhat-p76510119.html?spid=76510129,Bong bóng hình chữ số tráng nhôm kích cỡ 32 inch trang trí tiệc sinh nhật,OEM,15.000₫,Đã bán 576,4.7,"['Giảm 5K Số lượng có hạn', 'Giảm 9K Cho đơn hàng từ 39K', 'Giảm 20% Cho đơn hàng từ 80K', 'Giảm 5K Cho đơn hàng từ 99K', 'Giảm 20K Cho đơn hàng từ 150K', 'Giảm 5K Cho đơn hàng từ 150K', 'Giảm 15% Cho đơn hàng từ 160K', 'Giảm 19K Cho đơn hàng từ 169K', 'Giảm 15% Cho đơn hàng từ 199K', 'Giảm 50K Cho đơn hàng từ 500K', 'Giảm 80K Cho đơn hàng từ 799K', 'Giảm 5K Số lượng có hạn', 'Giảm 9K Cho đơn hàng từ 39K', 'Giảm 20% Cho đơn hàng từ 80K', 'Giảm 5K Cho đơn hàng từ 99K', 'Giảm 20K Cho đơn hàng từ 150K', 'Giảm 5K Cho đơn hàng từ 150K', 'Giảm 15% Cho đơn hàng từ 160K', 'Giảm 19K Cho đơn hàng từ 169K', 'Giảm 15% Cho đơn hàng từ 199K', 'Giảm 50K Cho đơn hàng từ 500K', 'Giảm 80K Cho đơn hàng từ 799K']",68,5,1,1,3,"['Kích thước sản phẩm không đúng mô tả.\nKích cỡ 32 inch = khoảng 81cm, thực tế khi nhận bóng, bơm căng, chỉ khoảng 35 cm', 'Mô tả sản phẩm không rõ ràng. Tên sản phẩm ghi 32 inch nhưng sản phẩm thật chỉ là centiment', 'Tên sản phẩm là bong bóng 32 inch nhưng mà giao bóng nhỏ có 32 centiment.', '32 inch mà hàng thật chỉ 32 centiment']"
https://tiki.vn/chan-dung-nen-hinh-phat-uncle-bills-buddha-oil-burner-p225935212.html?spid=225935213,Chân Đựng Nến Hình Phật Uncle Bills – Buddha Oil Burner,UNCLE BILL,133.000₫,Đã bán 1,,,,,,,,
https://tiki.vn/tuong-phat-thich-ca-de-nen-cat-soi-nhang-de-nhang-trang-tri-de-ban-phat-thai-phong-thuy-sieu-dep-p39155254.html?spid=111060425,Tượng Phật Thích Ca + đế + nến + cát + sỏi + nhang + đế nhang trang trí để bàn phật thái phong thuỷ siêu đẹp,OEM,176.000₫,Đã bán 46,5.0,"['Giảm 2% Cho đơn hàng từ 198K', 'Giảm 5K Cho đơn hàng từ 259K', 'Giảm 30K Cho đơn hàng từ 500K', 'Giảm 2% Cho đơn hàng từ 198K', 'Giảm 5K Cho đơn hàng từ 259K', 'Giảm 30K Cho đơn hàng từ 500K']",11,0,0,0,0,
https://tiki.vn/chieu-dieu-hoa-cao-su-non-latex-2020-reu-1m6x2m-p52596638.html?spid=253311365,CHIẾU ĐIỀU HÒA CAO SU NON LATEX 2020 - RÊU - 1M6X2M,OEM,200.000₫,Đã bán 130,,,,,,,,
https://tiki.vn/chieu-ngu-van-phong-cao-cap-p117353723.html?spid=117353725,Chiếu ngủ văn phòng cao cấp,Krishna,40.000₫,Đã bán 2665,4.8,,268,44,5,0,0,
