date,vcb_close
2022-12-26,66.81
2022-12-27,66.98
2022-12-28,67.74
2022-12-29,68.33
2022-12-30,67.74
2023-01-03,69.94
2023-01-04,70.11
2023-01-05,71.13
2023-01-06,71.13
2023-01-09,73.58
2023-01-10,73.92
2023-01-11,72.06
2023-01-12,71.80
2023-01-13,72.65
2023-01-16,73.92
2023-01-17,75.70
2023-01-18,76.21
2023-01-19,78.75
2023-01-27,78.75
2023-01-30,76.12
2023-01-31,77.82
2023-02-01,75.44
2023-02-02,76.71
2023-02-03,78.75
2023-02-06,81.29
2023-02-07,77.90
2023-02-08,79.76
2023-02-09,78.75
2023-02-10,80.02
2023-02-13,79.17
2023-02-14,78.32
2023-02-15,78.75
2023-02-16,78.24
2023-02-17,78.75
2023-02-20,79.42
2023-02-21,79.76
2023-02-22,78.75
2023-02-23,79.00
2023-02-24,79.17
2023-02-27,78.58
2023-02-28,79.17
2023-03-01,78.75
2023-03-02,78.92
2023-03-03,76.97
2023-03-06,77.05
2023-03-07,77.82
2023-03-08,78.07
2023-03-09,78.75
2023-03-10,77.98
2023-03-13,77.48
2023-03-14,77.05
2023-03-15,77.39
2023-03-16,77.05
2023-03-17,75.36
2023-03-20,72.06
2023-03-21,73.24
2023-03-22,75.36
2023-03-23,76.80
2023-03-24,75.36
2023-03-27,77.05
2023-03-28,77.73
2023-03-29,78.15
2023-03-30,78.49
2023-03-31,77.39
2023-04-03,78.58
2023-04-04,77.90
2023-04-05,77.98
2023-04-06,77.22
2023-04-07,76.21
2023-04-10,75.36
2023-04-11,74.68
2023-04-12,74.77
2023-04-13,74.68
2023-04-14,74.85
2023-04-17,74.85
2023-04-18,74.51
2023-04-19,74.94
2023-04-20,74.77
2023-04-21,74.09
2023-04-24,74.43
2023-04-25,74.77
2023-04-26,75.70
2023-04-27,76.21
2023-04-28,76.63
2023-05-04,74.94
2023-05-05,76.04
2023-05-08,78.75
2023-05-09,78.15
2023-05-10,77.90
2023-05-11,77.05
2023-05-12,78.58
2023-05-15,77.65
2023-05-16,78.41
2023-05-17,78.58
2023-05-18,80.44
2023-05-19,79.76
2023-05-22,78.83
2023-05-23,78.58
2023-05-24,78.41
2023-05-25,78.92
2023-05-26,77.90
2023-05-29,78.83
2023-05-30,80.02
2023-05-31,79.59
2023-06-01,79.51
2023-06-02,80.36
2023-06-05,82.98
2023-06-06,83.83
2023-06-07,82.13
2023-06-08,84.67
2023-06-09,85.10
2023-06-12,85.52
2023-06-13,86.79
2023-06-14,86.88
2023-06-15,87.64
2023-06-16,88.91
2023-06-19,86.11
2023-06-20,84.59
2023-06-21,84.67
2023-06-22,85.01
2023-06-23,84.59
2023-06-26,84.67
2023-06-27,84.67
2023-06-28,85.61
2023-06-29,86.28
2023-06-30,84.67
2023-07-03,84.67
2023-07-04,84.67
2023-07-05,86.37
2023-07-06,85.27
2023-07-07,88.91
2023-07-10,86.96
2023-07-11,87.21
2023-07-12,88.06
2023-07-13,88.82
2023-07-14,88.91
2023-07-17,88.74
2023-07-18,88.31
2023-07-19,90.18
2023-07-20,88.91
2023-07-21,88.91
2023-07-24,88.57
2023-07-25,91.80
2023-07-26,93.40
2023-07-27,92.70
2023-07-28,93.00
2023-07-31,91.60
2023-08-01,91.20
2023-08-02,91.50
2023-08-03,90.60
2023-08-04,90.10
2023-08-07,90.80
2023-08-08,90.70
2023-08-09,90.20
2023-08-10,88.50
2023-08-11,90.40
2023-08-14,89.00
2023-08-15,88.90
2023-08-16,89.20
2023-08-17,89.40
2023-08-18,89.50
2023-08-21,89.80
2023-08-22,88.40
2023-08-23,86.30
2023-08-24,87.00
2023-08-25,86.20
2023-08-28,87.00
2023-08-29,88.40
2023-08-30,89.10
2023-08-31,89.10
2023-09-05,90.10
2023-09-06,90.20
2023-09-07,89.50
2023-09-08,89.50
2023-09-11,88.50
2023-09-12,89.90
2023-09-13,89.10
2023-09-14,89.10
2023-09-15,89.80
2023-09-18,88.80
2023-09-19,88.10
2023-09-20,88.00
2023-09-21,87.00
2023-09-22,89.30
2023-09-25,89.30
2023-09-26,87.00
2023-09-27,87.80
2023-09-28,88.00
2023-09-29,87.50
2023-10-02,86.50
2023-10-03,86.30
2023-10-04,86.30
2023-10-05,84.50
2023-10-06,85.40
2023-10-09,84.60
2023-10-10,86.10
2023-10-11,86.50
2023-10-12,86.00
2023-10-13,86.60
2023-10-16,86.10
2023-10-17,85.90
2023-10-18,85.90
2023-10-19,84.50
2023-10-20,84.80
2023-10-23,84.50
2023-10-24,86.00
2023-10-25,85.80
2023-10-26,84.50
2023-10-27,85.00
2023-10-30,85.90
2023-10-31,86.80
2023-11-01,87.80
2023-11-02,89.00
2023-11-03,88.90
2023-11-06,89.50
2023-11-07,88.30
2023-11-08,89.50
2023-11-09,87.90
2023-11-10,86.00
2023-11-13,85.50
2023-11-14,86.00
2023-11-15,87.70
2023-11-16,88.00
2023-11-17,85.60
2023-11-20,86.10
2023-11-21,86.60
2023-11-22,86.70
2023-11-23,85.50
2023-11-24,86.00
2023-11-27,85.80
2023-11-28,85.80
2023-11-29,85.10
2023-11-30,84.70
2023-12-01,85.00
2023-12-04,86.00
2023-12-05,85.40
2023-12-06,85.90
2023-12-07,85.20
2023-12-08,85.00
2023-12-11,84.20
2023-12-12,84.20
2023-12-13,83.70
2023-12-14,84.40
2023-12-15,82.20
2023-12-18,81.50
2023-12-19,81.20
2023-12-20,81.10
2023-12-21,80.90
2023-12-22,80.90
2023-12-25,81.80
