date,vnindex_close
2022-12-26,985.21
2022-12-27,1004.57
2022-12-28,1015.66
2022-12-29,1009.29
2022-12-30,1007.09
2023-01-03,1043.9
2023-01-04,1046.35
2023-01-05,1055.82
2023-01-06,1051.44
2023-01-09,1054.21
2023-01-10,1053.35
2023-01-11,1055.76
2023-01-12,1056.39
2023-01-13,1060.17
2023-01-16,1066.68
2023-01-17,1088.29
2023-01-18,1098.28
2023-01-19,1108.08
2023-01-27,1117.1
2023-01-30,1102.57
2023-01-31,1111.18
2023-02-01,1075.97
2023-02-02,1077.59
2023-02-03,1077.15
2023-02-06,1089.29
2023-02-07,1065.84
2023-02-08,1072.22
2023-02-09,1064.03
2023-02-10,1055.3
2023-02-13,1043.7
2023-02-14,1038.64
2023-02-15,1048.2
2023-02-16,1058.29
2023-02-17,1059.31
2023-02-20,1086.69
2023-02-21,1082.23
2023-02-22,1054.28
2023-02-23,1053.66
2023-02-24,1039.56
2023-02-27,1021.25
2023-02-28,1024.68
2023-03-01,1040.55
2023-03-02,1037.61
2023-03-03,1024.77
2023-03-06,1027.18
2023-03-07,1037.84
2023-03-08,1049.18
2023-03-09,1055.95
2023-03-10,1053.0
2023-03-13,1052.8
2023-03-14,1040.13
2023-03-15,1062.19
2023-03-16,1047.4
2023-03-17,1045.14
2023-03-20,1023.1
2023-03-21,1032.43
2023-03-22,1040.54
2023-03-23,1045.1
2023-03-24,1046.79
2023-03-27,1052.25
2023-03-28,1054.29
2023-03-29,1056.33
2023-03-30,1059.44
2023-03-31,1064.64
2023-04-03,1079.28
2023-04-04,1078.45
2023-04-05,1080.86
2023-04-06,1070.91
2023-04-07,1069.71
2023-04-10,1065.35
2023-04-11,1069.46
2023-04-12,1069.45
2023-04-13,1064.3
2023-04-14,1052.89
2023-04-17,1053.81
2023-04-18,1055.02
2023-04-19,1048.98
2023-04-20,1049.25
2023-04-21,1042.91
2023-04-24,1041.36
2023-04-25,1034.85
2023-04-26,1040.8
2023-04-27,1039.63
2023-04-28,1049.12
2023-05-04,1040.61
2023-05-05,1040.31
2023-05-08,1053.44
2023-05-09,1053.77
2023-05-10,1058.26
2023-05-11,1057.12
2023-05-12,1066.9
2023-05-15,1065.71
2023-05-16,1065.91
2023-05-17,1060.44
2023-05-18,1068.31
2023-05-19,1067.07
2023-05-22,1070.64
2023-05-23,1065.85
2023-05-24,1061.79
2023-05-25,1064.63
2023-05-26,1063.76
2023-05-29,1074.98
2023-05-30,1078.05
2023-05-31,1075.17
2023-06-01,1078.39
2023-06-02,1090.84
2023-06-05,1097.82
2023-06-06,1108.31
2023-06-07,1109.54
2023-06-08,1101.32
2023-06-09,1107.53
2023-06-12,1116.02
2023-06-13,1122.46
2023-06-14,1117.42
2023-06-15,1116.97
2023-06-16,1115.22
2023-06-19,1105.4
2023-06-20,1111.72
2023-06-21,1118.46
2023-06-22,1125.3
2023-06-23,1129.38
2023-06-26,1132.03
2023-06-27,1134.33
2023-06-28,1138.35
2023-06-29,1125.39
2023-06-30,1120.18
2023-07-03,1125.5
2023-07-04,1132.0
2023-07-05,1134.62
2023-07-06,1126.22
2023-07-07,1138.07
2023-07-10,1149.02
2023-07-11,1151.77
2023-07-12,1154.2
2023-07-13,1165.42
2023-07-14,1168.4
