date,exchange_rate
2020-10-10,23198.0
2020-10-12,23193.0
2020-10-13,23195.0
2020-10-14,23197.0
2020-10-15,23192.0
2020-10-16,23201.0
2020-10-17,23201.0
2020-10-19,23196.0
2020-10-20,23191.0
2020-10-21,23185.0
2020-10-22,23180.0
2020-10-23,23185.0
2020-10-24,23185.0
2020-10-26,23182.0
2020-10-27,23187.0
2020-10-28,23190.0
2020-10-29,23198.0
2020-10-30,23201.0
2020-10-31,23201.0
2020-11-02,23201.0
2020-11-03,23198.0
2020-11-04,23190.0
2020-11-05,23200.0
2020-11-06,23185.0
2020-11-07,23185.0
2020-11-09,23180.0
2020-11-10,23182.0
2020-11-11,23187.0
2020-11-12,23187.0
2020-11-13,23192.0
2020-11-14,23192.0
2020-11-16,23184.0
2020-11-17,23174.0
2020-11-18,23164.0
2020-11-19,23179.0
2020-11-23,23175.0
2020-11-24,23168.0
2020-11-25,23165.0
2020-11-26,23164.0
2020-11-27,23162.0
2020-11-28,23162.0
2020-11-30,23155.0
2020-12-01,23152.0
2020-12-02,23152.0
2020-12-03,23147.0
2020-12-04,23142.0
2020-12-05,23142.0
2020-12-07,23137.0
2020-12-09,23140.0
2020-12-10,23146.0
2020-12-11,23146.0
2020-12-12,23146.0
2020-12-14,23143.0
2020-12-15,23144.0
2020-12-16,23148.0
2020-12-17,23143.0
2020-12-18,23138.0
2020-12-19,23138.0
2020-12-21,23149.0
2020-12-22,23154.0
2020-12-23,23167.0
2020-12-24,23162.0
2020-12-25,23152.0
2020-12-26,23152.0
2020-12-28,23149.0
2020-12-29,23148.0
2020-12-30,23141.0
2020-12-31,23131.0
2021-01-02,23131.0
2021-01-04,23131.0
2021-01-05,23121.0
2021-01-06,23123.0
2021-01-07,23117.0
2021-01-08,23121.0
2021-01-09,23121.0
2021-01-11,23127.0
2021-01-12,23140.0
2021-01-13,23134.0
2021-01-14,23132.0
2021-01-15,23136.0
2021-01-16,23136.0
2021-01-18,23141.0
2021-01-19,23152.0
2021-01-20,23148.0
2021-01-21,23144.0
2021-01-22,23137.0
2021-01-23,23137.0
2021-01-25,23147.0
2021-01-26,23142.0
2021-01-27,23144.0
2021-01-28,23147.0
2021-01-29,23160.0
2021-01-30,23160.0
2021-02-01,23151.0
2021-02-02,23152.0
2021-02-03,23145.0
2021-02-04,23144.0
2021-02-05,23154.0
2021-02-06,23154.0
2021-02-08,23149.0
2021-02-09,23137.0
2021-02-17,23122.0
2021-02-18,23132.0
2021-02-19,23134.0
2021-02-20,23134.0
2021-02-22,23125.0
2021-02-23,23140.0
2021-02-24,23132.0
2021-02-25,23130.0
2021-02-26,23130.0
2021-02-27,23130.0
2021-03-01,23145.0
2021-03-02,23151.0
2021-03-03,23161.0
2021-03-04,23152.0
2021-03-05,23166.0
2021-03-06,23166.0
2021-03-08,23185.0
2021-03-09,23200.0
2021-03-10,23203.0
2021-03-11,23204.0
2021-03-12,23183.0
2021-03-13,23183.0
2021-03-15,23200.0
2021-03-16,23204.0
2021-03-17,23204.0
2021-03-18,23199.0
2021-03-19,23194.0
2021-03-20,23194.0
2021-03-22,23204.0
2021-03-23,23197.0
2021-03-24,23206.0
2021-03-25,23218.0
2021-03-26,23230.0
2021-03-27,23230.0
2021-03-29,23231.0
2021-03-30,23237.0
2021-03-31,23244.0
2021-04-01,23242.0
2021-04-02,23241.0
2021-04-03,23241.0
2021-04-05,23236.0
2021-04-06,23237.0
2021-04-07,23229.0
2021-04-08,23221.0
2021-04-09,23214.0
2021-04-10,23214.0
2021-04-12,23218.0
2021-04-13,23214.0
2021-04-14,23217.0
2021-04-15,23200.0
2021-04-16,23196.0
2021-04-17,23196.0
2021-04-19,23190.0
2021-04-20,23182.0
2021-04-22,23183.0
2021-04-23,23179.0
2021-04-24,23179.0
2021-04-26,23167.0
2021-04-27,23161.0
2021-04-28,23160.0
2021-04-29,23158.0
2021-05-04,23174.0
2021-05-05,23176.0
2021-05-06,23178.0
2021-05-07,23179.0
2021-05-08,23179.0
2021-05-10,23162.0
2021-05-11,23145.0
2021-05-12,23149.0
2021-05-13,23168.0
2021-05-14,23176.0
2021-05-15,23160.0
2021-05-17,23160.0
2021-05-18,23170.0
2021-05-19,23151.0
2021-05-20,23154.0
2021-05-21,23160.0
2021-05-22,23160.0
2021-05-24,23160.0
2021-05-25,23158.0
2021-05-26,23146.0
2021-05-27,23137.0
2021-05-28,23135.0
2021-05-29,23135.0
2021-05-31,23135.0
2021-06-01,23117.0
2021-06-02,23131.0
2021-06-03,23131.0
2021-06-04,23138.0
2021-06-05,23138.0
2021-06-07,23140.0
2021-06-08,23130.0
2021-06-09,23107.0
2021-06-10,23104.0
2021-06-11,23101.0
2021-06-12,23101.0
2021-06-14,23099.0
2021-06-15,23103.0
2021-06-16,23109.0
2021-06-17,23114.0
2021-06-18,23148.0
2021-06-19,23148.0
2021-06-21,23167.0
2021-06-22,23184.0
2021-06-23,23191.0
2021-06-24,23191.0
2021-06-25,23179.0
2021-06-26,23179.0
2021-06-28,23169.0
2021-06-29,23177.0
2021-06-30,23178.0
2021-07-01,23182.0
2021-07-02,23184.0
2021-07-03,23184.0
2021-07-05,23190.0
2021-07-06,23175.0
2021-07-07,23181.0
2021-07-08,23190.0
2021-07-09,23201.0
2021-07-10,23201.0
2021-07-12,23198.0
2021-07-13,23201.0
2021-07-14,23204.0
2021-07-15,23203.0
2021-07-16,23192.0
2021-07-17,23192.0
2021-07-19,23195.0
2021-07-20,23207.0
2021-07-21,23211.0
2021-07-22,23215.0
2021-07-23,23209.0
2021-07-24,23209.0
2021-07-26,23213.0
2021-07-27,23217.0
2021-07-28,23218.0
2021-07-29,23212.0
2021-07-30,23180.0
2021-07-31,23180.0
2021-08-02,23180.0
2021-08-03,23176.0
2021-08-04,23166.0
2021-08-05,23164.0
2021-08-06,23167.0
2021-08-07,23167.0
2021-08-09,23173.0
2021-08-10,23187.0
2021-08-11,23178.0
2021-08-12,23152.0
2021-08-13,23145.0
2021-08-14,23145.0
2021-08-16,23153.0
2021-08-17,23158.0
2021-08-18,23164.0
2021-08-19,23154.0
2021-08-20,23166.0
2021-08-21,23166.0
2021-08-23,23177.0
2021-08-24,23165.0
2021-08-25,23151.0
2021-08-26,23143.0
2021-08-27,23142.0
2021-08-28,23142.0
2021-08-30,23137.0
2021-08-31,23130.0
2021-09-01,23109.0
2021-09-06,23106.0
2021-09-07,23102.0
2021-09-08,23109.0
2021-09-09,23122.0
2021-09-10,23118.0
2021-09-11,23118.0
2021-09-13,23113.0
2021-09-14,23130.0
2021-09-15,23117.0
2021-09-16,23110.0
2021-09-17,23119.0
2021-09-18,23119.0
2021-09-20,23132.0
2021-09-21,23134.0
2021-09-22,23132.0
2021-09-23,23139.0
2021-09-24,23134.0
2021-09-25,23134.0
2021-09-27,23141.0
2021-09-28,23145.0
2021-09-29,23155.0
2021-09-30,23162.0
2021-10-01,23160.0
2021-10-02,23160.0
2021-10-04,23156.0
2021-10-05,23154.0
2021-10-06,23158.0
2021-10-07,23170.0
2021-10-08,23165.0
2021-10-09,23165.0
2021-10-11,23170.0
2021-10-12,23174.0
2021-10-13,23181.0
2021-10-14,23177.0
2021-10-15,23159.0
2021-10-16,23159.0
2021-10-18,23160.0
2021-10-19,23164.0
2021-10-20,23147.0
2021-10-21,23145.0
2021-10-22,23142.0
2021-10-23,23142.0
2021-10-25,23136.0
2021-10-26,23129.0
2021-10-27,23131.0
2021-10-28,23145.0
2021-10-29,23131.0
2021-11-01,23140.0
2021-11-02,23150.0
2021-11-03,23140.0
2021-11-04,23152.0
2021-11-05,23133.0
2021-11-06,23133.0
2021-11-08,23123.0
2021-11-09,23109.0
2021-11-10,23100.0
2021-11-11,23105.0
2021-11-12,23115.0
2021-11-13,23115.0
2021-11-15,23104.0
2021-11-16,23107.0
2021-11-17,23114.0
2021-11-18,23116.0
2021-11-19,23112.0
2021-11-20,23112.0
2021-11-22,23118.0
2021-11-23,23133.0
2021-11-24,23141.0
2021-11-25,23147.0
2021-11-26,23145.0
2021-11-27,23145.0
2021-11-29,23143.0
2021-11-30,23139.0
2021-12-01,23143.0
2021-12-02,23127.0
2021-12-03,23127.0
2021-12-04,23127.0
2021-12-06,23165.0
2021-12-07,23210.0
2021-12-08,23237.0
2021-12-09,23196.0
2021-12-10,23175.0
2021-12-11,23175.0
2021-12-13,23207.0
2021-12-14,23191.0
2021-12-15,23195.0
2021-12-16,23222.0
2021-12-17,23217.0
2021-12-18,23217.0
2021-12-20,23184.0
2021-12-21,23190.0
2021-12-22,23183.0
2021-12-23,23193.0
2021-12-24,23193.0
2021-12-25,23193.0
2021-12-27,23174.0
2021-12-28,23142.0
2021-12-29,23154.0
2021-12-30,23145.0
2021-12-31,23145.0
2022-01-03,23145.0
2022-01-04,23134.0
2022-01-05,23137.0
2022-01-06,23128.0
2022-01-07,23138.0
2022-01-08,23138.0
2022-01-10,23125.0
2022-01-11,23105.0
2022-01-12,23110.0
2022-01-13,23096.0
2022-01-14,23082.0
2022-01-15,23082.0
2022-01-17,23085.0
2022-01-18,23097.0
2022-01-19,23119.0
2022-01-20,23100.0
2022-01-21,23077.0
2022-01-22,23077.0
2022-01-24,23062.0
2022-01-25,23068.0
2022-01-26,23076.0
2022-01-27,23070.0
2022-01-28,23099.0
2022-01-29,23099.0
2022-02-05,23099.0
2022-02-07,23081.0
2022-02-08,23090.0
2022-02-09,23104.0
2022-02-10,23108.0
2022-02-11,23090.0
2022-02-12,23090.0
2022-02-14,23096.0
2022-02-15,23116.0
2022-02-16,23119.0
2022-02-17,23113.0
2022-02-18,23119.0
2022-02-19,23119.0
2022-02-21,23133.0
2022-02-22,23130.0
2022-02-23,23130.0
2022-02-24,23131.0
2022-02-25,23146.0
2022-02-26,23146.0
2022-02-28,23140.0
2022-03-01,23137.0
2022-03-02,23133.0
2022-03-03,23143.0
2022-03-04,23151.0
2022-03-05,23151.0
2022-03-07,23159.0
2022-03-08,23171.0
2022-03-09,23172.0
2022-03-10,23162.0
2022-03-11,23164.0
2022-03-12,23164.0
2022-03-14,23178.0
2022-03-15,23186.0
2022-03-16,23188.0
2022-03-17,23167.0
2022-03-18,23142.0
2022-03-19,23142.0
2022-03-21,23146.0
2022-03-22,23143.0
2022-03-23,23147.0
2022-03-24,23148.0
2022-03-25,23151.0
2022-03-26,23151.0
2022-03-28,23146.0
2022-03-29,23151.0
2022-03-30,23135.0
