date,vcb_close,vnindex_close,exchange_rate,interest_rate,gdp,inflation,sp500_close,gdp_growth
2020-05-06,51912.0,782.59,23254.0,2.13,1382995.0,-0.03,2848.42,0.0
2020-05-07,53525.0,796.54,23265.0,1.97,1382995.0,-0.03,2881.19,0.0
2020-05-08,56443.0,813.73,23262.0,1.75,1382995.0,-0.03,2929.8,0.0
2020-05-11,57211.0,828.33,23252.0,1.6,1382995.0,-0.03,2930.32,0.0
2020-05-12,58055.0,835.32,23245.0,1.52,1382995.0,-0.03,2870.12,0.0
2020-05-13,58055.0,834.21,23244.0,1.38,1382995.0,-0.03,2820.0,0.0
2020-05-14,58363.0,832.4,23253.0,1.26,1382995.0,-0.03,2852.5,0.0
2020-05-15,58363.0,827.03,23263.0,1.19,1382995.0,-0.03,2863.7,0.0
2020-05-18,60282.0,837.01,23265.0,1.02,1382995.0,-0.03,2953.91,0.0
2020-05-19,60666.0,845.92,23259.0,0.88,1382995.0,-0.03,2922.94,0.0
2020-05-20,61127.0,852.91,23249.0,0.6,1382995.0,-0.03,2971.61,0.0
2020-05-21,62356.0,862.73,23247.0,0.47,1382995.0,-0.03,2948.51,0.0
2020-05-22,62202.0,852.74,23242.0,0.41,1382995.0,-0.03,2955.45,0.0
2020-05-25,62279.0,859.04,23257.0,0.47,1382995.0,-0.03,3896.4,0.0
2020-05-26,63354.0,869.13,23270.0,0.4,1382995.0,-0.03,2991.77,0.0
2020-05-27,63661.0,857.48,23260.0,0.33,1382995.0,-0.03,3036.13,0.0
2020-05-28,64890.0,861.39,23271.0,0.28,1382995.0,-0.03,3029.73,0.0
2020-05-29,65427.0,864.47,23261.0,0.3,1382995.0,-0.03,3044.31,0.0
2020-06-01,66426.0,878.67,23256.0,0.46,1382995.0,0.66,3055.73,0.0
2020-06-02,66503.0,874.8,23251.0,0.38,1382995.0,0.66,3080.82,0.0
2020-06-03,67501.0,881.17,23246.0,0.33,1382995.0,0.66,3122.87,0.0
2020-06-04,68346.0,883.9,23244.0,0.27,1382995.0,0.66,3112.35,0.0
2020-06-05,68346.0,886.22,23245.0,0.25,1382995.0,0.66,3193.93,0.0
2020-06-08,68653.0,899.92,23240.0,0.23,1382995.0,0.66,3232.39,0.0
2020-06-09,68730.0,899.43,23232.0,0.2,1382995.0,0.66,3207.18,0.0
