"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/12/2023","4,754.63","4,753.92","4,772.94","4,736.77","","0.17%"
"21/12/2023","4,746.75","4,724.29","4,748.71","4,708.35","","0.97%"
"20/12/2023","4,701.19","4,764.73","4,778.01","4,700.12","","-1.41%"
"19/12/2023","4,768.37","4,743.72","4,768.69","4,743.72","","0.59%"
"18/12/2023","4,740.56","4,725.58","4,749.52","4,725.58","","0.45%"
"15/12/2023","4,719.19","4,714.23","4,725.53","4,704.69","","-0.01%"
"14/12/2023","4,719.55","4,721.04","4,738.57","4,694.34","","0.26%"
"13/12/2023","4,707.09","4,646.20","4,709.69","4,643.23","","1.37%"
"12/12/2023","4,643.70","4,618.30","4,643.93","4,608.09","","0.46%"
"11/12/2023","4,622.44","4,593.39","4,623.71","4,593.39","","0.39%"
"08/12/2023","4,604.37","4,576.20","4,609.23","4,574.06","","0.41%"
"07/12/2023","4,585.59","4,568.84","4,590.92","4,565.22","","0.80%"
"06/12/2023","4,549.34","4,586.23","4,590.74","4,546.50","","-0.39%"
"05/12/2023","4,567.18","4,557.25","4,578.56","4,551.68","","-0.06%"
"04/12/2023","4,569.78","4,564.37","4,572.37","4,546.72","","-0.54%"
"01/12/2023","4,594.63","4,559.43","4,599.39","4,554.71","","0.59%"
"30/11/2023","4,567.78","4,554.87","4,569.89","4,537.24","","0.38%"
"29/11/2023","4,550.58","4,571.84","4,587.64","4,547.15","","-0.09%"
"28/11/2023","4,554.89","4,545.55","4,568.14","4,540.51","","0.10%"
"27/11/2023","4,550.43","4,554.86","4,560.52","4,546.32","","-0.20%"
"24/11/2023","4,559.34","4,555.84","4,560.31","4,552.80","","0.06%"
"22/11/2023","4,556.62","4,553.04","4,568.43","4,545.05","","0.41%"
"21/11/2023","4,538.19","4,538.77","4,542.14","4,525.51","","-0.20%"
"20/11/2023","4,547.38","4,511.70","4,557.11","4,510.36","","0.74%"
"17/11/2023","4,514.02","4,509.55","4,520.12","4,499.66","","0.13%"
"16/11/2023","4,508.24","4,497.08","4,511.99","4,487.83","","0.12%"
"15/11/2023","4,502.88","4,505.30","4,521.17","4,495.31","","0.16%"
"14/11/2023","4,495.70","4,458.97","4,508.67","4,458.97","","1.91%"
"13/11/2023","4,411.55","4,406.66","4,421.76","4,393.82","","-0.08%"
"10/11/2023","4,415.24","4,364.15","4,418.03","4,353.34","","1.56%"
"09/11/2023","4,347.35","4,391.41","4,393.40","4,343.94","","-0.81%"
"08/11/2023","4,382.78","4,384.37","4,391.20","4,359.76","","0.10%"
"07/11/2023","4,378.38","4,366.21","4,386.26","4,355.41","","0.28%"
"06/11/2023","4,365.98","4,364.27","4,372.21","4,347.53","","0.18%"
"03/11/2023","4,358.34","4,334.23","4,373.62","4,334.23","","0.94%"
"02/11/2023","4,317.78","4,268.26","4,319.72","4,268.26","","1.89%"
"01/11/2023","4,237.86","4,201.27","4,245.64","4,197.74","","1.05%"
"31/10/2023","4,193.80","4,171.33","4,195.55","4,153.12","","0.65%"
"30/10/2023","4,166.82","4,139.39","4,177.47","4,132.94","","1.20%"
"27/10/2023","4,117.37","4,152.93","4,156.70","4,103.78","","-0.48%"
"26/10/2023","4,137.23","4,175.99","4,183.60","4,127.90","","-1.18%"
"25/10/2023","4,186.77","4,232.42","4,232.42","4,181.42","","-1.43%"
"24/10/2023","4,247.68","4,235.79","4,259.38","4,219.43","","0.73%"
"23/10/2023","4,217.04","4,210.40","4,255.84","4,189.22","","-0.17%"
"20/10/2023","4,224.16","4,273.85","4,276.56","4,223.03","","-1.26%"
"19/10/2023","4,278.00","4,321.36","4,339.54","4,269.69","","-0.85%"
"18/10/2023","4,314.60","4,357.35","4,364.20","4,303.84","","-1.34%"
"17/10/2023","4,373.20","4,345.23","4,393.57","4,337.54","","-0.01%"
"16/10/2023","4,373.63","4,342.37","4,383.33","4,342.37","","1.06%"
"13/10/2023","4,327.78","4,360.49","4,377.10","4,311.97","","-0.50%"
"12/10/2023","4,349.61","4,380.94","4,385.85","4,325.43","","-0.62%"
"11/10/2023","4,376.95","4,366.59","4,378.64","4,345.34","","0.43%"
"10/10/2023","4,358.24","4,339.75","4,385.46","4,339.64","","0.52%"
"09/10/2023","4,335.66","4,289.02","4,341.73","4,283.79","","0.63%"
"06/10/2023","4,308.50","4,234.79","4,324.10","4,219.55","","1.18%"
"05/10/2023","4,258.19","4,259.31","4,267.13","4,225.91","","-0.13%"
"04/10/2023","4,263.75","4,233.83","4,268.50","4,220.48","","0.81%"
"03/10/2023","4,229.45","4,269.75","4,281.15","4,216.45","","-1.37%"
"02/10/2023","4,288.39","4,284.52","4,300.58","4,260.21","","0.01%"
"29/09/2023","4,288.05","4,328.18","4,333.15","4,274.86","","-0.27%"
"28/09/2023","4,299.70","4,269.65","4,317.27","4,264.38","","0.59%"
"27/09/2023","4,274.51","4,282.63","4,292.07","4,238.63","","0.02%"
"26/09/2023","4,273.53","4,312.88","4,313.01","4,265.98","","-1.47%"
"25/09/2023","4,337.44","4,310.62","4,338.51","4,302.70","","0.40%"
"22/09/2023","4,320.06","4,341.74","4,357.40","4,316.49","","-0.23%"
"21/09/2023","4,330.00","4,374.36","4,375.70","4,329.17","","-1.64%"
"20/09/2023","4,402.20","4,452.81","4,461.03","4,401.38","","-0.94%"
"19/09/2023","4,443.95","4,445.41","4,449.85","4,416.61","","-0.22%"
"18/09/2023","4,453.53","4,445.13","4,466.36","4,442.11","","0.07%"
"15/09/2023","4,450.32","4,497.98","4,497.98","4,447.21","","-1.22%"
"14/09/2023","4,505.10","4,487.78","4,511.99","4,478.69","","0.84%"
"13/09/2023","4,467.44","4,462.65","4,479.39","4,453.52","","0.12%"
"12/09/2023","4,461.90","4,473.27","4,487.11","4,456.83","","-0.57%"
"11/09/2023","4,487.46","4,480.98","4,490.77","4,467.89","","0.67%"
"08/09/2023","4,457.49","4,451.30","4,473.53","4,448.38","","0.14%"
"07/09/2023","4,451.14","4,434.55","4,457.81","4,430.46","","-0.32%"
"06/09/2023","4,465.48","4,490.35","4,490.35","4,442.38","","-0.70%"
"05/09/2023","4,496.83","4,510.06","4,514.29","4,496.01","","-0.42%"
"01/09/2023","4,515.77","4,530.60","4,541.25","4,501.35","","0.18%"
"31/08/2023","4,507.66","4,517.01","4,532.26","4,507.39","","-0.16%"
"30/08/2023","4,514.87","4,500.34","4,521.65","4,493.59","","0.38%"
"29/08/2023","4,497.63","4,432.75","4,500.14","4,431.68","","1.45%"
"28/08/2023","4,433.31","4,426.03","4,439.56","4,414.98","","0.63%"
"25/08/2023","4,405.71","4,389.38","4,418.46","4,356.29","","0.67%"
"24/08/2023","4,376.31","4,455.16","4,458.30","4,375.55","","-1.35%"
"23/08/2023","4,436.01","4,396.44","4,443.18","4,396.44","","1.10%"
"22/08/2023","4,387.55","4,415.33","4,418.59","4,382.77","","-0.28%"
"21/08/2023","4,399.77","4,380.28","4,407.55","4,360.30","","0.69%"
"18/08/2023","4,369.71","4,344.88","4,381.82","4,335.31","","-0.01%"
"17/08/2023","4,370.36","4,416.32","4,421.17","4,364.83","","-0.77%"
